Date,Vaccinated,Confirmed,Recovered,Dead
2021-03-18,206,29183,22963,909
2021-03-19,340,29192,22965,909
2021-03-20,467,29196,22966,909
2021-03-21,467,29206,22971,909
2021-03-22,467,29211,22977,909
2021-03-23,606,29221,22982,909
2021-03-24,807,29230,22988,909
2021-03-25,3654,29239,22991,909
2021-03-26,4698,29252,22994,909
2021-03-27,5279,29259,22996,909
2021-03-28,5355,29276,23004,909
2021-03-29,5698,29296,23005,909
2021-03-30,6716,29304,23005,909
2021-03-31,8153,29322,23012,909
2021-04-01,9269,29333,23014,909
2021-04-02,10309,29341,23025,909
2021-04-03,10485,29348,23027,909
2021-04-04,10612,29357,23032,909
2021-04-05,10739,29365,23048,909
2021-04-06,10776,29379,23049,909
2021-04-07,11646,29385,23056,909
2021-04-08,13255,29390,23071,909
2021-04-09,14135,29396,23080,909
2021-04-10,14839,29405,23083,909
2021-04-11,15009,29419,23085,909
2021-04-12,15955,29429,23087,910
2021-04-13,16746,29450,23104,910
2021-04-14,17610,29469,23108,910
2021-04-15,18450,29484,23114,910
2021-04-16,19155,29499,23147,910
2021-04-17,19155,29519,23158,910
2021-04-18,19155,29533,23160,910
2021-04-19,20044,29556,23173,910
2021-04-20,21114,29576,23177,910
2021-04-21,23224,29594,23181,910
2021-04-22,24163,29638,23183,910
2021-04-23,24961,29653,23191,910
2021-04-24,24961,29663,23195,910
2021-04-25,25770,29680,23209,910
2021-04-26,25770,29717,23253,910
2021-04-27,25961,29750,23260,910
2021-04-28,26532,29773,23271,910
2021-04-29,27105,29798,23279,910
2021-04-30,27681,29811,23294,910
2021-05-01,28294,29824,23308,910
2021-05-02,28294,29838,23327,910
2021-05-03,28305,29850,23330,910
2021-05-04,28850,29865,23349,910
2021-05-05,30427,29884,23377,910
2021-05-06,30895,29893,23396,910
2021-05-07,31492,29906,23407,910
2021-05-08,32157,29922,23429,910
2021-05-09,32157,29931,23437,910
2021-05-10,32157,29938,23460,910
2021-05-11,32839,29946,23466,910
2021-05-12,33505,29955,23474,910
2021-05-13,34162,29957,23484,910
2021-05-14,34856,29964,23490,910
2021-05-15,35471,29975,23493,910
2021-05-16,35481,29978,23494,910
2021-05-17,35503,29983,23499,910
2021-05-18,395919,29992,23511,910
2021-05-19,396871,29995,23518,910
2021-05-20,397784,29999,23525,910
2021-05-21,398895,30003,23533,910
2021-05-22,399833,30007,23539,910
2021-05-23,413213,30019,23549,910
2021-05-24,413240,30029,23557,910
2021-05-25,476598,30046,23560,910
2021-05-26,478723,30063,23568,910
2021-05-27,480876,30074,23571,910
2021-05-28,481255,30083,23575,910
2021-05-29,483218,30096,23579,910
2021-05-30,483571,30105,23581,910
2021-05-31,483571,30118,23583,910
2021-06-01,535013,30124,23584,910
2021-06-02,536139,30137,23595,910
2021-06-03,540956,30141,23601,910
2021-06-04,543514,30157,23601,910
2021-06-05,545753,30173,23603,910
2021-06-06,545753,30191,23607,910
2021-06-07,630179,30205,23617,910
2021-06-08,635116,30210,23630,910
2021-06-09,637915,30225,23639,910
2021-06-10,638357,30228,23648,910
2021-06-11,641521,30234,23653,910
2021-06-12,644553,30248,23664,910
2021-06-13,644553,30262,23676,910
2021-06-14,644553,30273,23692,910
2021-06-15,773773,30286,23710,910
2021-06-16,776990,30301,23716,910
2021-06-17,780397,30309,23720,910
2021-06-18,787480,30322,23727,910
2021-06-19,788361,30331,23734,910
2021-06-20,788361,30355,23742,910
