Date,Vaccinated
2021-03-18,206
2021-03-19,340
2021-03-20,467
2021-03-21,467
2021-03-22,467
2021-03-23,606
2021-03-24,807
2021-03-25,3654
2021-03-26,4698
2021-03-27,5279
2021-03-28,5355
2021-03-29,5698
2021-03-30,6716
2021-03-31,8153
2021-04-01,9269
2021-04-02,10309
2021-04-03,10485
2021-04-04,10612
2021-04-05,10739
2021-04-06,10776
2021-04-07,11646
2021-04-08,13255
2021-04-09,14135
2021-04-10,14839
2021-04-11,15009
2021-04-12,15955
2021-04-13,16746
2021-04-14,17610
2021-04-15,18450
2021-04-16,19155
2021-04-17,19155
2021-04-18,19155
2021-04-19,20044
2021-04-20,21114
2021-04-21,23224
2021-04-22,24163
2021-04-23,24961
2021-04-24,24961
2021-04-25,25770
2021-04-26,25770
2021-04-27,25961
2021-04-28,26532
2021-04-29,27105
2021-04-30,27681
2021-05-01,28294
2021-05-02,28294
2021-05-03,28305
2021-05-04,28850
2021-05-05,30427
2021-05-06,30895
2021-05-07,31492
2021-05-08,32157
2021-05-09,32157
2021-05-10,32157
2021-05-11,32839
2021-05-12,33505
2021-05-13,34162
2021-05-14,34856
2021-05-15,35471
2021-05-16,35481
2021-05-17,35503
2021-05-18,395919
2021-05-19,396871
2021-05-20,397784
2021-05-21,398895
2021-05-22,399833
2021-05-23,413213
2021-05-24,413240
2021-05-25,476598
2021-05-26,478723
2021-05-27,480876
2021-05-28,481255
2021-05-29,483218
2021-05-30,483571
2021-05-31,483571
2021-06-01,535013
2021-06-02,536139
2021-06-03,540956
2021-06-04,543514
2021-06-05,545753
2021-06-06,545753
2021-06-07,630179
2021-06-08,635116
2021-06-09,637915
2021-06-10,638357
2021-06-11,641521
2021-06-12,644553
2021-06-13,644553
2021-06-14,644553
2021-06-15,773773
2021-06-16,776990
2021-06-17,780397
2021-06-18,787480
2021-06-19,788361
2021-06-20,788361
2021-06-21,1082169
2021-06-22,1087344
2021-06-23,1087344
2021-06-24,1089243
2021-06-25,1090435
2021-06-26,1090435
2021-06-27,1090435
2021-06-28,1448250
2021-06-29,1474508
2021-06-30,1482739
2021-07-01,1487972
2021-07-02,1726273
2021-07-03,1808266
2021-07-04,1855746
2021-07-05,1877621
2021-07-06,1877621
2021-07-07,2023935
2021-07-08,2099475
2021-07-09,2180544
2021-07-10,2254598
2021-07-11,2303847
2021-07-12,2325721
2021-07-13,2400772
2021-07-14,2488649
2021-07-15,2578512
2021-07-16,2669945
2021-07-17,2753511
2021-07-18,2801868
2021-07-19,2828259
2021-07-20,2906803
2021-07-21,2994696
2021-07-22,3090133
2021-07-23,3183426
2021-07-24,3271964
2021-07-25,3327213
2021-07-26,3359005
