"","eq.ind","card1","card2","cb1","fc2","payoff_1","payoff_2","util_1","util_2","is.eqo","cond.ind"
"1",1,2,1,"bet(0.5),check(0.5)","fold",1,-1,1,-1,TRUE,1
"2",1,3,1,"check","",1,-1,1,-1,TRUE,2
"3",1,4,1,"check","",1,-1,1,-1,TRUE,3
"4",1,5,1,"check","",1,-1,1,-1,TRUE,4
"5",1,6,1,"check","",1,-1,1,-1,TRUE,5
"6",1,7,1,"check","",1,-1,1,-1,TRUE,6
"7",1,8,1,"check","",1,-1,1,-1,TRUE,7
"8",1,9,1,"check","",1,-1,1,-1,TRUE,8
"9",1,10,1,"check","",1,-1,1,-1,TRUE,9
"10",1,11,1,"bet","fold",1,-1,1,-1,TRUE,10
"11",1,12,1,"bet","fold",1,-1,1,-1,TRUE,11
"12",1,13,1,"bet","fold",1,-1,1,-1,TRUE,12
"13",1,1,2,"bet","fold",1,-1,1,-1,TRUE,13
"14",1,3,2,"check","",1,-1,1,-1,TRUE,14
"15",1,4,2,"check","",1,-1,1,-1,TRUE,15
"16",1,5,2,"check","",1,-1,1,-1,TRUE,16
"17",1,6,2,"check","",1,-1,1,-1,TRUE,17
"18",1,7,2,"check","",1,-1,1,-1,TRUE,18
"19",1,8,2,"check","",1,-1,1,-1,TRUE,19
"20",1,9,2,"check","",1,-1,1,-1,TRUE,20
"21",1,10,2,"check","",1,-1,1,-1,TRUE,21
"22",1,11,2,"bet","fold",1,-1,1,-1,TRUE,22
"23",1,12,2,"bet","fold",1,-1,1,-1,TRUE,23
"24",1,13,2,"bet","fold",1,-1,1,-1,TRUE,24
"25",1,1,3,"bet","call(0.31),fold(0.69)",-0.25,0.25,-0.25,0.25,TRUE,25
"26",1,2,3,"bet(0.5),check(0.5)","call(0.31),fold(0.69)",-0.62500075,0.62500075,-0.62500075,0.62500075,TRUE,26
"27",1,4,3,"check","",1,-1,1,-1,TRUE,27
"28",1,5,3,"check","",1,-1,1,-1,TRUE,28
"29",1,6,3,"check","",1,-1,1,-1,TRUE,29
"30",1,7,3,"check","",1,-1,1,-1,TRUE,30
"31",1,8,3,"check","",1,-1,1,-1,TRUE,31
"32",1,9,3,"check","",1,-1,1,-1,TRUE,32
"33",1,10,3,"check","",1,-1,1,-1,TRUE,33
"34",1,11,3,"bet","call(0.31),fold(0.69)",1.625,-1.625,1.625,-1.625,TRUE,34
"35",1,12,3,"bet","call(0.31),fold(0.69)",1.625,-1.625,1.625,-1.625,TRUE,35
"36",1,13,3,"bet","call(0.31),fold(0.69)",1.625,-1.625,1.625,-1.625,TRUE,36
"37",1,1,4,"bet","call(0.31),fold(0.69)",-0.25,0.25,-0.25,0.25,TRUE,37
"38",1,2,4,"bet(0.5),check(0.5)","call(0.31),fold(0.69)",-0.62500075,0.62500075,-0.62500075,0.62500075,TRUE,38
"39",1,3,4,"check","",-1,1,-1,1,TRUE,39
"40",1,5,4,"check","",1,-1,1,-1,TRUE,40
"41",1,6,4,"check","",1,-1,1,-1,TRUE,41
"42",1,7,4,"check","",1,-1,1,-1,TRUE,42
"43",1,8,4,"check","",1,-1,1,-1,TRUE,43
"44",1,9,4,"check","",1,-1,1,-1,TRUE,44
"45",1,10,4,"check","",1,-1,1,-1,TRUE,45
"46",1,11,4,"bet","call(0.31),fold(0.69)",1.625,-1.625,1.625,-1.625,TRUE,46
