weight,cals,idx
74.5,2624,1
73.9,2680,2
74.5,2657,3
74.9,,4
74.6,,5
74.8,,6
75.2,,7
,2548,8
,2525,9
,,10
,2560,11
75,2600,12
75,2625,13
,,14
74.6,2607,15
75.2,2700,16
75.3,,17
75.5,,18
75.8,,19
75.8,,20
,,21
75.5,2590,22
75.5,2679,23
,2638,24
75.8,2757,25
76.2,2579,26
76,2694,27
75.3,2593,28
75.2,2633,29
75.9,2658,30
75.9,2611,31
75.5,,32
,,33
75.4,,34
75.6,2716,35
75.8,2471,36
,,37
76.4,3089,38
75.9,2512,39
75.8,,40
76,,41
75,,42
75.9,2664,43
75.4,2721,44
,2721,45
76,,46
76.4,,47
76.9,,48
,,49
77,2678,50
77.3,,51
77.1,,52
78,,53
,2474,54
77.9,2439,55
77.8,2399,56
77.5,2429,57
77.3,2618,58
77.8,,59
,,60
77.4,2850,61
77.6,,62
77.5,,63
,2624,64
77.7,,65
78.3,,66
77.8,2628,67
77.8,,68
78.7,,69
78.5,2540,70
78,,71
78.2,,72
77.4,,73
77.8,2472,74
77.8,,75
78.2,2718,76
77.8,,77
,,78
79.6,2395,79
79.4,,80
78.2,,81
77.9,,82
,,83
78.2,,84
78.3,2628,85
78.8,2675,86
77.7,,87
,,88
79.1,2800,89
78.7,,90
78.7,,91
,2954,92
77.5,,93
77.7,,94
,,95
78.8,,96
79.9,,97
,,98
,2718,99
79.4,,100
78.6,2717,101
79.4,,102
79.5,,103
,,104
80.4,,105
,,106
79.7,2690,107
79.6,2690,108
79.5,2741,109
,,110
,,111
,,112
,,113
80.1,2702,114
80,,115
80.4,,116
81.2,2650,117
81.1,,118
,,119
,,120
81.4,,121
81.1,2714,122
81.5,,123
81.2,2640,124
81.3,2731,125
,,126
,,127
,2670,128
81.1,,129
81.5,,130
,,131
80.6,,132
,,133
,,134
,,135
,,136
,,137
80.8,2800,138
81,2800,139
81.3,,140
,2959,141
81.5,2828,142
81.5,2691,143
81.4,2705,144
81.5,2770,145
81.4,2690,146
82.2,,147
81.8,,148
81.6,,149
82,2350,150
,2450,151
81.8,2703,152
81.8,,153
81.1,,154
,,155
81.8,2332,156
81.6,,157
82.6,2301,158
82.4,2400,159
82.4,,160
,2341,161
81.8,1850,162
,1945,163
81.6,,164
81.6,,165
81.3,,166
,,167
,,168
,2035,169
80.9,1948,170
81.2,1883,171
81,,172
80.7,1972,173
79.9,,174
80.2,2046,175
,,176
80.6,2077,177
,2065,178
80.2,,179
,,180
80.3,,181
80.7,,182
79.6,1996,183
80.5,,184
,,185
,,186
,,187
,,188
,,189
,,190
80.1,,191
,2350,192
80.7,1970,193
80.7,1965,194
80.3,,195
79.5,,196
79.2,,197
79.5,1926,198
79,,199
,,200
,,201
78.9,,202
78.7,,203
,,204
,,205
79.5,,206
79.5,,207
79.7,2000,208
79.6,,209
78.9,,210
,1906,211
,1900,212
79.5,1900,213
78.9,1900,214
78.8,1878,215
79.4,,216
,,217
,1900,218
79.3,,219
,,220
79.2,1889,221
79.1,,222
78.9,1968,223
78.8,1892,224
78.8,,225
78.3,1974,226
79.1,,227
79.2,1923,228
79,,229
,,230
78.8,1905,231
79,,232
78.6,,233
78.4,1927,234
78.3,,235
78.6,,236
,,237
,,238
,,239
,1951,240
78.1,,241
,,242
78.3,,243
,2000,244
78.5,1878,245
,1911,246
77.7,,247
78.4,,248
,,249
,,250
,,251
77.1,,252
,2100,253
78,,254
,,255
,,256
77.3,1870,257
76.6,,258
,,259
,1975,260
,2028,261
77.6,,262
77.1,,263
77.3,,264
,,265
,,266
78.5,1874,267
77.7,1796,268
,,269
,,270
,,271
,,272
,,273
,,274
,2036,275
,2335,276
,,277
77.5,,278
,,279
,,280
77.7,,281
77.5,,282
,,283
,,284
77.4,1969,285
77,,286
,,287
,2162,288
76.5,,289
76.5,2361,290
76.6,2050,291
,,292
,,293
,,294
77.2,2598,295
77.2,,296
77.3,2300,297
,,298
,,299
77.1,,300
,,301
,2100,302
77.1,,303
,2144,304
77.2,,305
,2582,306
76.8,,307
,,308
,,309
77.6,1950,310
77,1900,311
77.2,,312
,2285,313
,,314
77.2,,315
,,316
77.3,,317
,,318
77.6,1750,319
77,2017,320
76.8,1816,321
77,,322
,1997,323
76.3,2124,324
76.9,1848,325
77,2437,326
76.5,1853,327
76.5,2017,328
75.8,1999,329
75.9,1992,330
76.6,1968,331
76.4,1954,332
76.5,1942,333
75.8,1908,334
76.4,1979,335
75.9,1926,336
