idx,weight,cals
620,73.9,2680
621,74.5,2657
622,74.9,
623,74.6,
624,74.8,
625,75.2,
626,,2548
627,,2525
628,,
629,,2560
630,75,2600
631,75,2625
632,,
633,74.6,2607
634,75.2,2700
635,75.3,
636,75.5,
637,75.8,
638,75.8,
639,,
640,75.5,2590
641,75.5,2679
642,,2638
643,75.8,2757
644,76.2,2579
645,76,2694
646,75.3,2593
647,75.2,2633
648,75.9,2658
649,75.9,2611
650,75.5,
651,,
652,75.4,
653,75.6,2716
654,75.8,2471
655,,
656,76.4,3089
657,75.9,2512
658,75.8,
659,76,
660,75,
661,75.9,2664
662,75.4,2721
663,,2721
664,76,
665,76.4,
666,76.9,
667,,
668,77,2678
669,77.3,
670,77.1,
671,78,
672,,2474
673,77.9,2439
674,77.8,2399
675,77.5,2429
676,77.3,2618
677,77.8,
678,,
679,77.4,2850
680,77.6,
681,77.5,
682,,2624
683,77.7,
684,78.3,
685,77.8,2628
686,77.8,
687,78.7,
688,78.5,2540
689,78,
690,78.2,
691,77.4,
692,77.8,2472
693,77.8,
694,78.2,2718
695,77.8,
696,,
697,79.6,2395
698,79.4,
699,78.2,
700,77.9,
701,,
702,78.2,
703,78.3,2628
704,78.8,2675
705,77.7,
706,,
707,79.1,2800
708,78.7,
709,78.7,
710,,2954
711,77.5,
712,77.7,
713,,
714,78.8,
715,79.9,
716,,
717,,2718
718,79.4,
719,78.6,2717
720,79.4,
721,79.5,
722,,
723,80.4,
724,,
725,79.7,2690
726,79.6,2690
727,79.5,2741
728,,
729,,
730,,
731,,
732,80.1,2702
733,80,
734,80.4,
735,81.2,2650
736,81.1,
737,,
738,,
739,81.4,
740,81.1,2714
741,81.5,
742,81.2,2640
743,81.3,2731
744,,
745,,
746,,2670
747,81.1,
748,81.5,
749,,
750,80.6,
751,,
752,,
753,,
754,,
755,,
756,80.8,2800
757,81,2800
758,81.3,
759,,2959
760,81.5,2828
761,81.5,2691
762,81.4,2705
763,81.5,2770
764,81.4,2690
765,82.2,
766,81.8,
767,81.6,
768,82,2350
769,,2450
770,81.8,2703
771,81.8,
772,81.1,
773,,
774,81.8,2332
775,81.6,
776,82.6,2301
777,82.4,2400
778,82.4,
779,,2341
780,81.8,1850
781,,1945
782,81.6,
783,81.6,
784,81.3,
785,,
786,,
787,,2035
788,80.9,1948
789,81.2,1883
790,81,
791,80.7,1972
792,79.9,
793,80.2,2046
794,,
795,80.6,2077
796,,2065
797,80.2,
798,,
799,80.3,
800,80.7,
801,79.6,1996
802,80.5,
803,,
804,,
805,,
806,,
807,,
808,,
809,80.1,
810,,2350
811,80.7,1970
812,80.7,1965
813,80.3,
814,79.5,
815,79.2,
816,79.5,1926
817,79,
818,,
819,,
820,78.9,
821,78.7,
822,,
823,,
824,79.5,
825,79.5,
826,79.7,2000
827,79.6,
828,78.9,
829,,1906
830,,1900
831,79.5,1900
832,78.9,1900
833,78.8,1878
834,79.4,
835,,
836,,1900
837,79.3,
838,,
839,79.2,1889
