weight,cals,prot,carb,exer,ex_min,date,fat,sleep,sick,idx
,1997,48,187,0,0,64,411,0,1,1
76.3,2124,74,262,0,0,74,459,0,2,2
76.9,1848,84,198,0,0,73,458,1,3,3
77,2437,129,264,0,0,92,547,1,4,4
76.5,1853,116,207,1,49,64,487,1,5,5
76.5,2017,72,248,0,0,80,569,1,6,6
75.8,1999,89,221,0,0,80,547,1,7,7
75.9,1992,72,213,1,28,91,438,1,8,8
76.6,1968,101,222,0,0,73,378,0,9,9
76.4,1954,70,219,1,55,85,422,0,10,10
76.5,1942,75,267,1,75,60,561,0,11,11
75.8,1908,134,158,0,0,73,349,0,12,12
76.4,1979,137,144,0,0,90,413,0,13,13
75.9,1926,38,210,0,0,72,465,0,14,14
76,1901,97,183,0,0,47,236,0,15,15
76.1,1844,117,195,1,45,62,310,0,16,16
76.2,2092,76,314,1,85,53,326,0,17,17
75.9,1920,127,235,0,0,60,561,0,18,18
76.2,,,,0,0,,415,0,19,19
76.4,2070,52,173,1,75,96,538,0,20,20
,2030,118,239,0,0,98,315,1,21,21
76.5,1801,109,164,0,0,77,333,0,22,22
76,1962,144,201,1,40,55,443,0,23,23
75.5,1911,114,211,1,75,56,510,0,24,24
75.8,1885,77,222,0,0,72,575,0,25,25
