turn,guess,entropy,aspce_old,aspce_new,p,answer
2, clink, 2.05971, 40, 3, 0, aback
3, aback, 0.936092, 3, 1, 0.333333, aback
2, belch, 1.40178, 7, 1, 0, abase
3, abase, 1.40178, 1, 1, 0, abase
2, glitz, 2.11346, 28, 1, 0, abate
3, abate, 2.11346, 1, 1, 0, abate
2, pleat, 2.36651, 68, 7, 0.0147059, abbey
3, annex, 1.23485, 7, 1, 0.142857, abbey
4, abbey, 1.23485, 1, 1, 0.142857, abbey
2, cloot, 2.14755, 44, 1, 0, abbot
3, abbot, 2.14755, 1, 1, 0, abbot
2, baron, 1.99027, 27, 2, 0.037037, abhor
3, abhor, 0.59665, 2, 1, 0.5, abhor
2, gault, 2.16478, 40, 2, 0, abide
3, abide, 0.59665, 2, 1, 0.5, abide
2, pleat, 2.36651, 68, 10, 0.0147059, abled
3, angel, 1.40184, 10, 1, 0.1, abled
4, abled, 1.40184, 1, 1, 0.1, abled
2, bundt, 1.4422, 8, 1, 0, abode
3, abode, 1.4422, 1, 1, 0, abode
2, acorn, 1.31811, 6, 2, 0.166667, abort
3, abort, 0.59665, 2, 1, 0.5, abort
2, cloot, 2.14755, 44, 2, 0, about
3, about, 0.59665, 2, 1, 0.5, about
2, bundt, 1.4422, 8, 1, 0, above
3, above, 1.4422, 1, 1, 0, above
2, thump, 1.77035, 15, 2, 0, abuse
3, abuse, 0.59665, 2, 1, 0.5, abuse
2, linty, 1.8674, 23, 1, 0, abyss
3, abyss, 1.8674, 1, 1, 0, abyss
2, acorn, 1.31811, 6, 1, 0.166667, acorn
2, riyal, 2.15427, 42, 3, 0, acrid
3, acrid, 0.816292, 3, 1, 0.333333, acrid
2, baron, 1.99027, 27, 3, 0.037037, actor
3, ardor, 0.816292, 3, 1, 0.333333, actor
4, actor, 0.816292, 1, 1, 0.333333, actor
2, gault, 2.16478, 40, 1, 0, acute
3, acute, 2.16478, 1, 1, 0, acute
2, glitz, 2.11346, 28, 2, 0, adage
3, adage, 0.59665, 2, 1, 0.5, adage
2, clink, 2.05971, 40, 2, 0, adapt
3, adapt, 0.59665, 2, 1, 0.5, adapt
2, pleat, 2.36651, 68, 1, 0.0147059, adept
3, adept, 2.36651, 1, 1, 0.0147059, adept
2, clint, 2.65227, 138, 3, 0, admin
3, admin, 0.816292, 3, 1, 0.333333, admin
2, clint, 2.65227, 138, 3, 0, admit
3, admit, 0.816292, 3, 1, 0.333333, admit
2, bundt, 1.4422, 8, 1, 0, adobe
3, adobe, 1.4422, 1, 1, 0, adobe
2, cloot, 2.14755, 44, 2, 0, adopt
