turn,guess,entropy,aspce_old,aspce_new,p,answer
2,clink,4.59644,40,3,0,aback
3,aahed,1.58496,3,1,0,aback
4,aback,1.58496,1,1,0,aback
2,belch,2.80735,7,1,0,abase
3,abase,2.80735,1,1,0,abase
2,glitz,3.18201,28,1,0,abate
3,abate,3.18201,1,1,0,abate
2,natal,4.53708,68,3,0,abbey
3,mecca,1.58496,3,1,0.333333,abbey
4,abbey,1.58496,1,1,0.333333,abbey
2,cloot,4.40569,44,1,0,abbot
3,abbot,4.40569,1,1,0,abbot
2,maron,3.65823,27,4,0,abhor
3,arbor,2,4,1,0.25,abhor
4,abhor,2,1,1,0.25,abhor
2,gault,4.01177,40,2,0,abide
3,abide,1,2,1,0.5,abide
2,natal,4.53708,68,3,0,abled
3,abled,1.58496,3,1,0.333333,abled
2,bundt,3,8,1,0,abode
3,abode,3,1,1,0,abode
2,abaca,2.58496,6,1,0,abort
3,abort,2.58496,1,1,0,abort
2,cloot,4.40569,44,2,0,about
3,about,1,2,1,0.5,about
2,bundt,3,8,1,0,above
3,above,3,1,1,0,above
2,thump,3.13957,15,2,0,abuse
3,abuse,1,2,1,0.5,abuse
2,linty,3.93618,23,1,0,abyss
3,abyss,3.93618,1,1,0,abyss
2,abaca,2.58496,6,1,0,acorn
3,acorn,2.58496,1,1,0,acorn
2,riyal,4.22281,42,3,0,acrid
3,acrid,1.58496,3,1,0.333333,acrid
2,maron,3.65823,27,4,0,actor
3,arbor,2,4,1,0.25,actor
4,actor,2,1,1,0.25,actor
2,gault,4.01177,40,1,0,acute
3,acute,4.01177,1,1,0,acute
2,glitz,3.18201,28,2,0,adage
3,adage,1,2,1,0.5,adage
2,clink,4.59644,40,2,0,adapt
3,adapt,1,2,1,0.5,adapt
2,natal,4.53708,68,2,0,adept
3,adept,1,2,1,0.5,adept
2,clint,5.17137,138,3,0,admin
3,admin,1.58496,3,1,0.333333,admin
2,clint,5.17137,138,3,0,admit
3,admit,1.58496,3,1,0.333333,admit
2,bundt,3,8,1,0,adobe
3,adobe,3,1,1,0,adobe
2,cloot,4.40569,44,2,0,adopt
3,about,1,2,1,0.5,adopt
4,adopt,1,1,1,0.5,adopt
2,adore,1,1,1,0.5,adore
2,abaca,2.58496,6,1,0,adorn
3,adorn,2.58496,1,1,0,adorn
2,clint,5.17137,138,3,0,adult
3,fault,1.58496,3,1,0.333333,adult
4,adult,1.58496,1,1,0.333333,adult
2,clint,5.17137,138,6,0,affix
3,affix,2.58496,6,1,0.166667,affix
2,afire,1,2,1,0.5,afire
2,cloot,4.40569,44,1,0,afoot
3,afoot,4.40569,1,1,0,afoot
2,cloot,4.40569,44,2,0,afoul
3,afoul,1,2,1,0.5,afoul
2,talar,3.69415,61,1,0,after
3,after,3.69415,1,1,0,after
2,clink,4.59644,40,1,0,again
3,again,4.59644,1,1,0,again
2,glitz,3.18201,28,2,0,agape
3,adage,1,2,1,0.5,agape
4,agape,1,1,1,0.5,agape
2,glitz,3.18201,28,1,0,agate
3,agate,3.18201,1,1,0,agate
2,natal,4.53708,68,1,0,agent
3,agent,4.53708,1,1,0,agent
2,gault,4.01177,40,2,0,agile
3,agile,1,2,1,0.5,agile
2,clint,5.17137,138,2,0,aging
3,aging,1,2,1,0.5,aging
2,cloot,4.40569,44,1,0,aglow
3,aglow,4.40569,1,1,0,aglow
2,cloot,4.40569,44,3,0,agony
3,agony,1.58496,3,1,0.333333,agony
2,abaca,2.58496,6,1,0,agora
3,agora,2.58496,1,1,0,agora
2,barca,2.80735,7,1,0,agree
3,agree,2.80735,1,1,0,agree
2,natal,4.53708,68,4,0,ahead
3,ahead,2,4,1,0.25,ahead
2,talar,3.69415,61,3,0,aider
3,abaci,1.58496,3,1,0,aider
4,aider,1.58496,1,1,0,aider
2,thump,3.13957,15,3,0,aisle
3,aisle,1.58496,3,1,0.333333,aisle
2,dhuti,3.54659,13,1,0,alarm
3,alarm,3.54659,1,1,0,alarm
2,clint,5.17137,138,3,0,album
3,abaca,1.58496,3,1,0,album
4,album,1.58496,1,1,0,album
2,altar,2.32193,5,1,0,alert
3,alert,2.32193,1,1,0,alert
2,gault,4.01177,40,1,0,algae
3,algae,4.01177,1,1,0,algae
2,clint,5.17137,138,1,0,alibi
3,alibi,5.17137,1,1,0,alibi
2,natal,4.53708,68,1,0,alien
3,alien,4.53708,1,1,0,alien
2,clint,5.17137,138,1,0,align
3,align,5.17137,1,1,0,align
2,gault,4.01177,40,2,0,alike
3,alike,1,2,1,0.5,alike
2,gault,4.01177,40,2,0,alive
3,alike,1,2,1,0.5,alive
4,alive,1,1,1,0.5,alive
2,clint,5.17137,138,3,0,allay
3,abaca,1.58496,3,1,0,allay
4,allay,1.58496,1,1,0,allay
2,natal,4.53708,68,3,0,alley
3,abled,1.58496,3,1,0.333333,alley
4,alley,1.58496,1,1,0.333333,alley
2,cloot,4.40569,44,1,0,allot
3,allot,4.40569,1,1,0,allot
2,cloot,4.40569,44,2,0,allow
3,allow,1,2,1,0.5,allow
2,cloot,4.40569,44,2,0,alloy
3,allow,1,2,1,0.5,alloy
4,alloy,1,1,1,0.5,alloy
2,cloot,4.40569,44,4,0,aloft
3,abaft,2,4,1,0,aloft
4,aloft,2,1,1,0,aloft
2,bundt,3,8,1,0,alone
3,alone,3,1,1,0,alone
2,cloot,4.40569,44,2,0,along
3,along,1,2,1,0.5,along
2,cloot,4.40569,44,1,0,aloof
3,aloof,4.40569,1,1,0,aloof
2,cloot,4.40569,44,2,0,aloud
3,along,1,2,1,0.5,aloud
4,aloud,1,1,1,0.5,aloud
2,clint,5.17137,138,3,0,alpha
3,abaca,1.58496,3,1,0,alpha
4,alpha,1.58496,1,1,0,alpha
2,riyal,4.22281,42,2,0,altar
3,altar,1,2,1,0.5,altar
2,talar,3.69415,61,1,0,alter
3,alter,3.69415,1,1,0,alter
2,chals,3.32486,14,1,0,amass
3,amass,3.32486,1,1,0,amass
2,glitz,3.18201,28,1,0,amaze
3,amaze,3.18201,1,1,0,amaze
2,talar,3.69415,61,3,0,amber
3,abaci,1.58496,3,1,0,amber
4,amber,1.58496,1,1,0,amber
2,gault,4.01177,40,4,0,amble
3,ample,2,4,1,0.25,amble
4,amble,2,1,1,0.25,amble
2,natal,4.53708,68,4,0,amend
3,amend,2,4,1,0.25,amend
2,linty,3.93618,23,3,0,amiss
3,amiss,1.58496,3,1,0.333333,amiss
2,clint,5.17137,138,2,0,amity
3,amity,1,2,1,0.5,amity
2,cloot,4.40569,44,3,0,among
3,agony,1.58496,3,1,0.333333,among
4,among,1.58496,1,1,0.333333,among
2,gault,4.01177,40,4,0,ample
3,ample,2,4,1,0.25,ample
2,clint,5.17137,138,12,0,amply
3,dampy,3.58496,12,1,0,amply
4,amply,3.58496,1,1,0,amply
2,thump,3.13957,15,1,0,amuse
3,amuse,3.13957,1,1,0,amuse
2,natal,4.53708,68,1,0,angel
3,angel,4.53708,1,1,0,angel
2,talar,3.69415,61,3,0,anger
3,abaci,1.58496,3,1,0,anger
4,anger,1.58496,1,1,0,anger
2,gault,4.01177,40,2,0,angle
3,agile,1,2,1,0.5,angle
4,angle,1,1,1,0.5,angle
2,humic,3.0958,11,2,0,angry
3,angry,1,2,1,0.5,angry
2,linty,3.93618,23,1,0,angst
3,angst,3.93618,1,1,0,angst
2,gault,4.01177,40,2,0,anime
3,abide,1,2,1,0.5,anime
4,anime,1,1,1,0.5,anime
2,gault,4.01177,40,4,0,ankle
3,ample,2,4,1,0.25,ankle
4,ankle,2,1,1,0.25,ankle
2,natal,4.53708,68,4,0,annex
3,amend,2,4,1,0.25,annex
4,annex,2,1,1,0.25,annex
2,cloot,4.40569,44,5,0,annoy
3,annoy,2.32193,5,1,0.2,annoy
2,clint,5.17137,138,5,0,annul
3,lanky,2.32193,5,1,0.2,annul
4,annul,2.32193,1,1,0.2,annul
2,bundt,3,8,1,0,anode
3,anode,3,1,1,0,anode
2,clint,5.17137,138,1,0,antic
3,antic,5.17137,1,1,0,antic
2,clint,5.17137,138,3,0,anvil
3,anvil,1.58496,3,1,0.333333,anvil
2,balmy,3,8,1,0,aorta
3,aorta,3,1,1,0,aorta
2,dhuti,3.54659,13,1,0,apart
3,apart,3.54659,1,1,0,apart
2,clint,5.17137,138,6,0,aphid
3,affix,2.58496,6,1,0.166667,aphid
4,aphid,2.58496,1,1,0.166667,aphid
2,clint,5.17137,138,2,0,aping
3,aging,1,2,1,0.5,aping
4,aping,1,1,1,0.5,aping
2,natal,4.53708,68,1,0,apnea
3,apnea,4.53708,1,1,0,apnea
2,gault,4.01177,40,4,0,apple
3,ample,2,4,1,0.25,apple
4,apple,2,1,1,0.25,apple
2,clint,5.17137,138,12,0,apply
3,dampy,3.58496,12,1,0,apply
4,apply,3.58496,1,1,0,apply
2,maron,3.65823,27,1,0,apron
3,apron,3.65823,1,1,0,apron
2,clint,5.17137,138,5,0,aptly
